Country,Brand ,Brand Prefix,Product,Product Prefix,Standard Promocode,Product Type,Rate Plan Week,Rate Plan Month,Rate Plan Quarter,Rate Plan 6 months,Rate Plan Year,Rate Plan Year/month,Rate plan 6-month/month,Rate plan quarter/month,Rate Plan Day,In-app 3 mån,in-app 6 mån,Pub 1500,Pub 2000,B2B Year,Övriga Sverige Månad,Övriga Sverige Kvartal,Övriga Sverige Halvår,Övriga Sverige År,Sthlm Månad,Sthlm Kvartal,Sthlm Halvår,Sthlm År,Företag År
NO,Randaberg24,R24,Randaberg24,,R24-,Digital,N/A,99,N/A,N/A,1188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Aftenbladet mandag til fredag,D15,SA-D15,Print,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Basis,BAS,SA-BAS-,Digital,54,229,687,1374,2748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Familie,FAM,SA-FAM-,Digital,N/A,349,1047,2094,4188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Full Tilgang,FT,SA-FT-,Digital,N/A,379,1137,2274,4548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Full Tilgang Helg,WFT,SA-WFT-,Print,N/A,568,1704,3408,6588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Full Tilgang Komplett,KFT,SA-KFT-,Print,N/A,734,2202,4404,8448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Helg,W,SA-W-,Print,115,499,1497,2994,5760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Komplett,K,SA-K-,Print,N/A,665,1995,3990,7620,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Stavanger Aftenblad,SA,Premium,P,SA-P-,Digital,66,299,897,1794,3588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD digital premium,DM,SVD-DM-,Digital,N/A,349,1047,2094,4188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4188,4188,4188,4188,4188,4188,4188,4188,4188,4188
SE,Svenska Dagbladet,SVD,SvD digital premium SP,DP,SVD-DP,Digital,N/A,379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD digital standard,DS,SVD-DS-,Digital,N/A,229,687,1374,2748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD digital standard & Podme,DSPM,SVD-DSPM-,Digital,57,249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD komplett alla dagar,KA,SVD-KA-,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,799,2397,N/A,9588,799,2397,4794,9588,10788
SE,Svenska Dagbladet,SVD,SvD komplett helg,KH,SVD-KH-,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,519,1557,3114,5628,7188
SE,Svenska Dagbladet,SVD,SvD komplett sexdagars,K6,SVD-K6-,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,699,2097,4194,8388,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD komplett tredagars,K3,SVD-K3-,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,519,1557,3114,6228,N/A
SE,Svenska Dagbladet,SVD,SvD komplett vardag,KV,SVD-KV-,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,499,1497,2994,5988,7188
SE,Svenska Dagbladet,SVD,SvD söndag,SON,SVD-SON-,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149,447,894,1788,N/A,N/A,N/A,N/A,1788
SE,Svenska Dagbladet,SVD,SvD Superpaketet,SP,SVD-SP-,Digital,N/A,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD Superpaketet - tillägg alla dagar,AO-KA,SVD-AO-KA-,Print,N/A,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD Superpaketet - tillägg digital premium,AO-DM,SVD-AO-DM-,Digital,N/A,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
